魔剣,スコア,フラグ
ネクロノミコン＝ロスト,23,0
卯王ミオ,43,1
煌帝ネロ,89,1
イミティション＝サタニア,111,1
ダインスレイフ＝ビースト,133,1
ラストリゾート＝エース,154,0
エアロプス＝フラン,175,1
マタゴット＝ノラ,196,1
アマイモン＝マネ,218,0
緋剣ブロードソード＝ロスト,242,0
名刀・大包平:Blaze,246,1
独立魔界審査機構レビュウ,269,0
妖刀ムラマサ＝ロスト,290,1
禁書ヴォイニック,333,1
寅王ふうり,355,1
ティターニア＝モル,401,0
麒麟円門螺鈿白櫃,446,0
マンイーター＝スピカ,493,0
イミティション＝アリス＝ピュア＝ロスト,499,0
レゾンデートル＝ランベルセ,522,0
ベルリネッタ,548,0
天煌の輝アラストル＝リナ,570,0
神淵エレボス,617,0
ベルフェゴール＝プリム,638,1
聖女グラム＝オルタ＝ロスト,661,0
クサナギノツルギ＝レガリア,683,0
てすとあああああ文字数ここまで,705,0
天帝ユリウス,750,0
グラーキの黙示録,774,0
ぎんいろ＝ロスト,797,0
レヴァンテイン＝ロスト,819,0
丑王アコ,861,0
サフィンの篝火,905,1
アスモデウス＝サラ,927,1
神獣ちも,950,0
珍獣姫モティヒツディンヌ,973,0
グレイプニル＝ロスト,997,0
ジャガーノート＝ロスト,1021,0
天冥槍ペルセポネ,1045,0
天槍カシウス,1067,0
天煌の焔サクラメント,1090,0
ミョルニル＝アルファ,1114,0
冷たく輝くアルマース,1137,0
ラーゼ＝ミェルデン,1185,0
バハムート＝ミラ＝ロスト,1197,1
禁式・獄刀大包平＝ロスト,1242,0
神獣グラム＝ファフニル,1263,0
菌王キノコリオンヌ,1285,0
金髪のイゾルデ,1308,0
L.O.V.E.,1332,0
神菓王ザッハトルテ,1352,0
邪剣クラレント,1371,0
子王マハ,1395,0
業王剣タケミカヅチ,1415,1
天斧セレネ,1437,0
天冥杖ハデス,1458,0
レイバーインヴェスティ,1481,0
セイブザオーダー,1503,0
バステト＝ステラ,1525,0
神爪フォリヴォラ,1548,0
レヴァンテイン＝ハレ,1569,0
素晴らしきヘルゲスト,1529,1
カドゥケウス,1552,0
グラーシーザ・オーガー,1573,0
鳳凰円文螺鈿黒櫃,1597,0
メビウス,1619,0
エクス＝レプリカ,1642,0
ヒュプノス＝レト,1664,0
カタストロフ＝エリス,1711,0
ソウルテイカー,1757,0
セイバートゥース＝ムゥ,1779,0
災厄を照らす向日葵,1802,0
ノーネーム,1826,0
魔研グラム＝モッド,1848,0
ミョルニル＝マグナ,1871,0
パンドラ,1894,0
パンドラ＝エラー,1917,0
イミティション＝ロール,1939,0
魔拳グラム=スサノオ,1959,0
バハムート＝ミラ,1980,0
レヴァンテイン＝トリガー,2004,0
パイ＆シーズ＝ハレ,2027,0
ライブラ＝グリム,2073,0
ジャガーノート＝ルナ,2097,0
アリュメット＝モア,2120,0
ティターニア＝ネオ,2143,0
アル＝アジフ,2165,0
トライデント＝メルト,2188,0
災厄の蒼花アブソリュート,2211,0
ヴァルプルギス＝フレア,2234,0
アルギュロス＝ぎんいろ,2257,0
神劍クサナギノツルギ,2280,0
バハムート＝オメガ,2303,0
ヴァジュラ＝リラ,2326,0
ヴェロニカ＝エフ,2349,0
ニルヴァーナ＝カルマ,2373,0
終焉の桃幻リーゼ＝ペシェ,2396,0
災厄の黒い牙ジエンド,2419,0
災厄の理想郷ユートピア,2442,0
ラストリゾート＝ジョーカー,2466,0
セクメト＝イブ,2489,0
魔砲姫君バベル＝ペルソナ,2512,0
ティナ＝エンプレス,2535,0
天刀ムラマサ＝オボロ,2558,0
カタストロフ＝イデア,2581,0
レールガン＝タブー,2604,0
魔劍グラム＝オルタ,2627,0
オーア＝ドラグ,2650,0
神皇天叢雲＝アマテラス,2673,0
ロンゴミアント＝オズ,2696,0
神刀フツノミタマ＝カグツチ,2719,0
カラドボルグ＝エア,2742,0
打ち出の小槌＝原罪,2765,0
バールのようなもの神殺,2788,0
アガートラーム＝スカー,2809,0
ゲイボルグ＝ゼロ,2832,0
ロンギヌス＝カース,2854,0
レヴァンテイン＝ヘル,2876,0
フレイムタン＝グラセ,2899,0
ダミーあああああ文字数本当にここまで,2918,0
クラヴィスアルキミエ,2941,0
灼腕ターロス,2964,0
刻鳴鐘ユノ,2984,0
希望弓ブルーシェリー,3006,0
願望鏡ローズフィノ,3028,0
魔天猫リーナｘロスト,3043,0
練刀・有里村正,3063,0
練刀・七詩村正,3082,0
ルイゼット,3105,0
禁式・骨喰姫鶴,3125,0
アンノウン,3147,0
クギバット,3167,0
亥王シシガミ,3190,0
機剣エクスプレス,3209,0
インサイドフィクション,3232,0
アイスエイジ,3256,0
ティンカーベル,3279,0
ハイドランジア,3301,0
#ffffff,3324,0
ファイブサウザンド,3347,0
血剣マカブインｘソウ,3370,0
狗王ナナツサヤ,3392,0
サイレントナイト,3415,0
コード:デジャヴ,3438,0
ティナ＝ブレイド,3462,0
純神アイギスｘピュア,3485,0
アマリリスｘキス,3503,0
アロンダイトｘマギ,3526,0
ぽんぽんｘバニー,3549,0
シュヴァルツｘヴァイス,3573,0
ランペイジｘフェス,3596,0
天騎ｘ夜祭,3619,0
禁式・数珠丸恒次,3642,0
タウロシアｘアーチ,3665,0
レオｘエッジ,3688,0
バステトｘサマー,3707,0
クトネシリカｘマギ,3730,0
フルムーン,3753,0
スノーホワイト,3776,0
輝剣ターフェアイト,3799,0
カルンウェナン,3818,0
ルビカンテ,3841,0
スカーミリオネ,3864,0
リヴィ・セイン,3887,0
ヨルムンガンド,3910,0
ティターニア,3932,0
ハッピーエンド,3955,0
酉王アメノウズメ,3978,0
三池典太,4000,0
偽剣グラムｘサンタ,4015,0
サーペンテイン,4038,0
ケラウノス,4061,0
エヴァンス,4084,0
レディル,4107,0
レゾンデートル,4115,0
ダンデライオン,4138,0
パラノイア,4161,0
ウルスラ,4184,0
アシュリー,4207,0
カトブレパス,4231,0
エルフェリア,4254,0
カイルヴァルジンの黒本,4277,0
輝杖ロンズデーライト,4300,0
シルフィード,4323,0
クルタナ,4346,0
ガンバンテイン,4369,0
バハムート,4390,0
ヴァジュラ,4414,0
ヴェロニカ,4437,0
ニルヴァーナ,4460,0
リーゼ,4483,0
不知火検校,4506,0
ロードオブヴァージン,4529,0
メギストス,4553,0
ラストリゾート,4576,0
バステト,4598,0
バベルの魔砲,4622,0
ティナ,4645,0
妖刀ムラマサ,4660,0
ヴァルゴ,4684,0
レオ,4707,0
ライブラ,4730,0
キャンサル,4753,0
タウロシア,4777,0
リップバーンウィンクル,4799,0
ツクヨミ,4823,0
名刀・大包平,4821,0
エアガイツ,4845,0
陽菜さま,4868,0
エンドロール,4891,0
ウルトラマリン,4914,0
ロジーリリィ,4936,0
アヴァロン,4959,0
アマリリス,4983,0
ぽんぽん,4997,0
グランギニョル,5020,0
終期性螺旋機構理論,5044,0
カタストロフ,5067,0
レールガン,5090,0
