魔剣,スコア,フラグ
ネクロノミコン＝ロスト,21,0
鳳凰円文螺鈿黒櫃:Blaze,34,1
麒麟円文螺鈿白櫃＝ロスト,53,0
卯王ミオ,73,1
セロトニン,92,1
聖邪剣クラレント:Blaze,102,1
ダインスレイフ＝ビースト,121,0
ラストリゾート＝エース,137,0
エアロプス＝フラン,155,1
マタゴット＝ノラ,175,1
アマイモン＝マネ,194,0
緋剣ブロードソード＝ロスト,215,0
名刀・大包平:Blaze,220,1
爾限流・未来ヲ斬跋スル刃,230,0
レヴァンテイン＝ビースト,253,0
独立魔界審査機構レビュウ,274,0
妖刀ムラマサ＝ロスト,293,1
クロノスタシス,311,0
仙刀フツノミタマ＝小怺,329,0
魔剣グラム:Blaze,332,1
神竜機関バハムート＝ロスト,341,0
寅王ふうり,359,1
マナガルム,380,0
希暴石リリア,401,0
イミティション＝アリス＝ピュア＝ロスト,407,0
レゾンデートル＝ランベルセ,428,0
マトリカリア,448,0
天冥杖ハデス＝ロスト,469,1
偽聖剣エクスカリバー＝ロスト,491,0
神典ブルータス,511,0
天煌の輝アラストル＝リナ,531,0
ベルフェゴール＝プリム,550,1
聖女グラム＝オルタ＝ロスト,567,0
クサナギノツルギ＝レガリア,588,0
てすとあああああ文字数ここまで,609,0
妙純傳持・八咫＝ソハヤ,630,0
グラーキの黙示録,649,0
ぎんいろ＝ロスト,668,0
レヴァンテイン＝ロスト,687,0
禁式・大典太光世＝燐華,708,0
騎典姫ドルネシア,729,0
ハルピュイア＝ホロウ,749,0
イミティション＝リディ＝ダークネス,768,0
アスモデウス＝サラ,784,1
神獣ちも,804,0
珍獣姫モティヒツディンヌ,824,0
アドレナリン,845,0
グレイプニル＝ロスト,865,0
ジャガーノート＝ロスト,887,0
カイロスの暗匣,907,0
天冥槍ペルセポネ,927,0
天槍カシウス,947,0
天煌の焔サクラメント,967,0
ミョルニル＝アルファ,988,0
デミエクス＝ブライド,1007,0
冷たく輝くアルマース,1028,0
エクセルシヌス＝メアリー,1048,0
バハムート＝ミラ＝ロスト,1069,0
菌王キノコリオンヌ,1090,0
金髪のイゾルデ,1108,0
L.O.V.E.,1128,0
神菓王ザッハトルテ,1149,0
邪剣クラレント,1165,1
子王マハ,1186,0
業王剣タケミカヅチ,1204,1
オルナ＝テトラ,1224,0
天斧セレネ,1245,0
天冥杖ハデス,1262,0
レイバーインヴェスティ,1282,0
セイブザオーダー,1301,0
ノートゥング＝ウル,1320,0
バステト＝ステラ,1339,0
神爪フォリヴォラ,1359,0
未来ヲ斬跋スル刃,1380,0
レヴァンテイン＝ハレ,1401,0
カドゥケウス,1420,0
カオス,1440,0
フラクシヌス＝ルクス,1441,1
ライオンハート,1461,0
禁式・獄刀大包平,1482,0
グラーシーザ・オーガー,1502,0
鳳凰円文螺鈿黒櫃,1522,0
メビウス,1541,0
エクス＝レプリカ,1561,0
ヒュプノス＝レト,1582,0
ノートゥング,1600,0
煌刀ソハヤ,1621,0
セイバートゥース＝ムゥ,1642,0
災厄を照らす向日葵,1663,0
ノーネーム,1684,0
ミルキーウェイ,1705,0
魔研グラム＝モッド,1725,0
ミョルニル＝マグナ,1746,0
パンドラ,1767,0
パンドラ＝エラー,1788,0
イミティション＝ロール,1806,0
ジエンド＝NULL,1827,0
魔拳グラム=スサノオ,1848,0
バハムート＝ミラ,1868,0
レヴァンテイン＝トリガー,1889,0
パイ＆シーズ＝ハレ,1909,0
ジャガーノート＝ルナ,1930,0
永遠の災厄リーゼ＝ロズ,1951,0
ダインスレイフ＝ソル,1972,0
アリュメット＝モア,1993,0
ティターニア＝ネオ,2014,0
アル＝アジフ,2035,0
トライデント＝メルト,2056,0
災厄の蒼花アブソリュート,2076,0
ヴァルプルギス＝フレア,2097,0
アルギュロス＝ぎんいろ,2118,0
神劍クサナギノツルギ,2138,0
バハムート＝オメガ,2159,0
ヴァジュラ＝リラ,2179,0
ヴェロニカ＝エフ,2200,0
ニルヴァーナ＝カルマ,2221,0
終焉の桃幻リーゼ＝ペシェ,2242,0
災厄の黒い牙ジエンド,2263,0
災厄の理想郷ユートピア,2283,0
ラストリゾート＝ジョーカー,2305,0
セクメト＝イブ,2325,0
魔砲姫君バベル＝ペルソナ,2346,0
ティナ＝エンプレス,2367,0
天刀ムラマサ＝オボロ,2388,0
カタストロフ＝イデア,2408,0
レールガン＝タブー,2429,0
魔劍グラム＝オルタ,2450,0
オーア＝ドラグ,2471,0
神皇天叢雲＝アマテラス,2491,0
ロンゴミアント＝オズ,2512,0
神刀フツノミタマ＝カグツチ,2533,0
カラドボルグ＝エア,2553,0
打ち出の小槌＝原罪,2574,0
バールのようなもの神殺,2595,0
アガートラーム＝スカー,2615,0
ゲイボルグ＝ゼロ,2636,0
ロンギヌス＝カース,2656,0
レヴァンテイン＝ヘル,2677,0
フレイムタン＝グラセ,2698,0
ダミーあああああ文字数本当にここまで,2718,0
司書王使・吽形,2739,0
司書王使・阿形,2760,0
クラヴィスアルキミエ,2781,0
御神拳マカミ,2801,0
灼腕ターロス,2821,0
シュレディンガー,2842,0
刻鳴鐘ユノ,2862,0
希望弓ブルーシェリー,2882,0
願望鏡ローズフィノ,2903,0
ちびヘルたん,2923,0
魔天猫リーナｘロスト,2943,0
練刀・有里村正,2964,0
練刀・七詩村正,2984,0
白き悪魔ストラーフ,3004,0
ルイゼット,3024,0
禁式・骨喰姫鶴,3041,0
アンノウン,3062,0
クギバット,3082,0
亥王シシガミ,3103,0
機剣エクスプレス,3117,0
ちびソルたん,3138,0
インサイドフィクション,3159,0
アイスエイジ,3180,0
ティンカーベル,3201,0
ハイドランジア,3220,0
呪咒乃飾,3241,0
#ffffff,3253,0
ファイブサウザンド,3274,0
血剣マカブインｘソウ,3295,0
狗王ナナツサヤ,3316,0
サイレントナイト,3336,0
コード:デジャヴ,3356,0
ティナ＝ブレイド,3376,0
純神アイギスｘピュア,3396,0
アマリリスｘキス,3417,0
アロンダイトｘマギ,3438,0
ぽんぽんｘバニー,3458,0
シュヴァルツｘヴァイス,3479,0
ランペイジｘフェス,3500,0
天騎ｘ夜祭,3521,0
リズモアの蒼い本,3541,0
禁式・数珠丸恒次,3562,0
タウロシアｘアーチ,3583,0
レオｘエッジ,3604,0
バステトｘサマー,3625,0
クトネシリカｘマギ,3646,0
フルムーン,3667,0
スノーホワイト,3687,0
セイブザキングス,3708,0
陽菜さまｘピーチ,3729,0
輝剣ターフェアイト,3750,0
カルンウェナン,3771,0
ルビカンテ,3792,0
スカーミリオネ,3813,0
リヴィ・セイン,3833,0
エレ・マトラ,3854,0
ケツアルコアトル,3873,0
ヨルムンガンド,3894,0
ティターニア,3911,0
ハッピーエンド,3932,0
酉王アメノウズメ,3952,0
三池典太,3973,0
偽剣グラムｘサンタ,3989,0
サーペンテイン,4006,0
ケラウノス,4027,0
エヴァンス,4048,0
レディル,4068,0
レゾンデートル,4073,0
ヴァルハラ,4085,0
ダンデライオン,4105,0
パラノイア,4126,0
ウルスラ,4142,0
リンドブルム,4163,0
アシュリー,4177,0
カトブレパス,4198,0
エルフェリア,4219,0
カイルヴァルジンの黒本,4240,0
輝杖ロンズデーライト,4261,0
シルフィード,4281,0
クルタナ,4302,0
ガンバンテイン,4323,0
バハムート,4343,0
ヴァジュラ,4364,0
ヴェロニカ,4383,0
ニルヴァーナ,4402,0
リーゼ,4423,0
バステトｘフェイク,4443,0
不知火検校,4463,0
ファイナルレター,4481,0
ロードオブヴァージン,4502,0
メギストス,4523,0
ラストリゾート,4543,0
バステト,4560,0
バベルの魔砲,4581,0
ティナ,4602,0
妖刀ムラマサ,4619,0
ヴァルゴ,4639,0
レオ,4660,0
ライブラ,4680,0
キャンサル,4701,0
タウロシア,4721,0
リップバーンウィンクル,4742,0
ツクヨミ,4763,0
名刀・大包平,4764,0
エアガイツ,4783,0
陽菜さま,4800,0
エンドロール,4821,0
ウルトラマリン,4841,0
ロジーリリィ,4858,0
アヴァロン,4874,0
アマリリス,4894,0
ぽんぽん,4913,0
ドラウプニル,4929,0
グランギニョル,4950,0
ルルベル,4970,0
タルタロス,4991,0
ハイペリオン,5007,0
終期性螺旋機構理論,5028,0
カタストロフ,5049,0
レールガン,5070,0
スコル＆ハティ,5090,0
グレイプニル,5111,0
カンタレラ,5132,0
神器アイギス,5150,0
戦斧マルス,5156,0
ジョワイユーズ,5176,0
アストレイム,5197,0
ジャメヴ,5218,0
フラベルム,5224,0
フロッティ,5245,0
雷斧ペルーン,5263,0
アクケルテ,5284,0
フォーマルハウト,5305,0
秘剣マカブイン,5326,0
ΦΦΦ,5346,0
アクアディンゲン,5367,0
魔眼パロール,5388,0
戦槍ミネルヴァ,5394,0
アンブレラ,5415,0
ヤタガラス,5436,0
セイバートゥース,5456,0
サイネリア,5477,0
イノケンティウス,5492,0
ディザスターマイン,5511,0
ヘルファイアワークス,5532,0
不俱戴天華,5552,0
マックアルイーン,5572,0
ルルイエ異本,5593,0
高電圧可変弩,5611,0
ガラティーン,5632,0
猿王如意棒,5653,0
グロリオーサ,5674,0
三日月宗近,5694,0
童子切安綱,5712,0
数珠丸恒次,5727,0
ディルンウィン,5747,0
鬼丸国綱,5768,0
大典太光世,5788,0
神菓エクレアンヌ,5809,0
神菓プディングンヌ,5830,0
神菓マカロンヌ,5851,0
龍の髭,5872,0
天之尾羽張,5893,0
笑門フクキタル,5914,0
魔天猫ルコ,5931,0
魔剣グラム,5945,0
